Action Name,Price,Profit
Share-KMTG,23.21,9.28
Share-GHIZ,28.0,11.17
Share-NHWA,29.18,11.6
Share-UEZB,24.87,9.81
Share-LPDM,39.35,15.63
Share-MTLR,16.48,6.59
Share-USSR,25.62,10.14
Share-GTQK,15.4,6.15
Share-FKJW,21.08,8.39
Share-MLGM,0.01,0.0
Share-QLMK,17.38,6.86
Share-WPLI,34.64,13.82
Share-LGWG,31.41,12.41
Share-ZSDE,15.11,6.03
Share-SKKC,24.87,9.82
Share-QQTU,33.19,13.14
Share-GIAJ,10.75,4.29
Share-XJMO,9.39,3.75
Share-LRBZ,32.9,13.14
Share-KZBL,28.99,11.35
Share-EMOV,8.89,3.51
Share-IFCP,29.23,11.66
